size,text
1,Dai Nippon
1,Daimler Airways
1,Daimler Airways / Grands Express Aeriens
1,Dalmia Jain Airways
4,Dan Air Services
1,Dan-Air Services
1,Darbhanga Aviation
1,de Havilland Aircraft
4,Deccan Airways
1,Del Rio Flying Service - Air Taxi
1,Delaware Aviation - Air Taxi
12,Delta Air Lines
1,Delta Air Lines/ North Central Airlines
1,Deming Flying Service - Air Taxi
1,Den Norske Luftfartskole
1,Denver Air Center
1,Deraps Aviation
1,Deraya Air Taxi
1,Derby Aviation
3,Deruluft
1,Det Danske Luftfartselskab
1,Deutche Lufthansa
1,Deutsche Flugdienst
65,Deutsche Lufthansa
1,Deutsche Zeppelin Reederei
1,Devener Flying Service - Taxi
1,Devlet Hava Yollairi
4,Devlet Hava Yollari
1,DHL
1,DHL Aviation Africa
1,Dirgantara Air Service
5,Dirgantara Air Services
1,DJB Air Charter
2,Djibouti Airlines
1,DLL
1,DNL
1,Dodita Air Cargo
1,Dominicana
1,Dominion Air Lines
1,Don Everall Aviation
1,Don Zimmerman - Air Taxi
1,Douglas Aircraft
1,Douglas Aircraft Company
3,Douglas Airways
2,Downeast Airlines
2,DTA Angola Airlines
1,Duncan Aircraft Sales
1,Dunlap Aviation - Air Taxi
1,Dutch Continental Airways
1,Dutch Dakota Association
1,Dwyer Flying Service - Private Charter
1,E.A.S. Aeroservizi
3,Eagle Air
1,Eagle Airways
3,Eagle Aviation
1,Eagle Cap Leasing
1,Eagle Commuter
1,Eagle Flight - Air Taxi
1,EAS Airlines (Executive Airline Services)
1,East African Air Charters
2,East African Airways
1,East Anglian Flying Services
1,East Coast Air - Air Taxi
1,East Coast Jets
1,East Indonesia Air Taxi
1,East Provincial Airways
25,Eastern Air Lines
1,Eastern Air Lines / Military - Bolivian Air Force
1,Eastern Air Lines / Military - U.S. Army Air Corps
1,Eastern Air Lines / Military - USN
2,Eastern Air Transport
2,Eastern Provincial Airways
1,Ecuatair
1,Ecuato Guineana de Aviacion
1,Edde Airlines
1,EDELCA
1,Edinburgh Air Charter
9,EgyptAir
1,Eitos
1,Ejercito del Aire
4,El Al
1,El Magal Aviation
1,Elbee Airlines
1,ELK Aviation Co. (leased from Eminex)
1,Embry Riddle Company
2,Emery Worldwide
1,Emirates Air Transport
2,Empire Airlines
1,Empresa Aviacion del Pacifico
1,Empresa Nacional de Transp. Trabalho Aereo
1,Empressa Commun. Aéreas de Veracruz
1,Enimex
1,ERA Aviation - Air Taxi
1,ERA Helicopter
1,Era Helicopter - Air Taxi
1,ETA - Empresa Transportes Aéreos
13,Ethiopian Airlines
1,Eurasia
1,Eureka Aero Inc. - Air Taxi
1,Euro Asia Aviation
1,Euroair
1,Eurojet Italila
1,Europe Aero Service EAS
1,Everest Air
1,"Evergreen Alaska Helicopters, Inc."
2,Evergreen Helicopter - Air Taxi
1,Evergreen International Airlines
1,EXA Inc.
2,Executive Air - Air Taxi
1,Executive Airlines
1,Executive Funds
1,Executive Jet Sales Inc.
1,Exportada De Sal S.A.
1,Express Airlines - Northwest Airlink
2,Expresso Aéreo
1,F.R. de la Direccion General de Ados
1,Fairbanks Air - Air Taxi
1,Fairbanks Air Service - Taxi
1,Fairflight Ltd.
1,Fairways
1,Falcon Airways - Air Taxi
1,Falcon Aviation Group
1,FAMA (Argentina)
1,Far Aviation - Air Taxi / Speeds Flying - Air Taxi
1,Far East Aviation
6,Far Eastern Air Transport
1,Faraz Qeshm Airlines
1,Farnair Hungary
10,Faucett
1,Federal Airlines
2,Federal Express
2,FedEx
1,Festus Flying Service - Air Taxi
1,Fiji Air
1,Fiji Air Services
1,Filipinas Orient Airways
1,Fine Air
2,Finnair
1,First Air
1,Flamingo Airlines - Air Taxi
1,Flash Air
1,Fleming Airways System Transport
1,Fleming International Airways
1,Flight Safety Australia
1,Flight Service
1,Flightline
1,Florida Commuter Airlines
3,Flota Aérea Mercante Argentina
1,Flugefelag
1,Flugfelag Austurlands
1,Fly 540
11,Flying Tiger Line
1,Flying W Airways
1,Flynn's Ferry Service
1,Force Area Populaire de Angola
1,Ford Air Freight Inc.
5,Formosa Airlines
1,Fortaire Aviation - Air Taxi
1,Foster Aviation
1,Fragtflug
1,Francisco Cruz
1,Franco-Roumaine
1,Fred Olsen Flyveselskap
1,Freedom International
1,Frigorifico Cooperativo Los Andes
1,Frigorifico Maniqui
1,Frigorifico Reyes
1,Frigorifico Santa Rita
1,Frontier Air
2,Frontier Airlines
1,Frontier Flying Service
2,Frontier Flying Service - Air Taxi
1,Fuerza Area Angolaise
4,Fuerza Aérea Argentina
1,Fuerza Aérea Colombiana
6,Fuerza Aérea del Peru
1,Fuerza Aérea Nicaragua
1,Fuerza Aérea Panamena
1,Fuerza Aérea Uruguaya
1,Fuerza Aérea Venezolana
1,Fuji Airlines
1,Fujita Koku Kabushki Kai
1,Fun Air
1,G & W Aviation
1,Gabon Express
1,Gaige Aviation - Air Taxi
1,Galaxy Airlines
1,Galaxy Kavatsi Airlines
2,Galena Air Service - Air Taxi
1,Galesburg Aviation - Air Taxi
1,Gambcrest
1,Gander Aviation
1,Garamut Aviation
19,Garuda Indonesia Airlines
1,Garuda Indonesia Airlines / Garuda Indonesia Airlines
1,GAS Air
1,Gastonia Aviation - Taxi
2,Gay Airways - Air Taxi
1,General Air
2,General Airways
1,General Aviation Inc.
1,Georgia Express
1,Georgian Air
1,Geoterrex
1,Ghana Airlink
1,Ghana Airways
1,Ginger Coote Airways
1,Gira Globo Charter
1,GLM Aviation
1,Global Executive Aviation
1,Globe Air
1,Glow Air/Air Castle - Charter
1,Gol Airlines / Private
1,Golden Star Air Cargo
1,Golden West Airlines / Private
1,Goose Bay Air Services
1,Gor'ky Eskadril'ya
1,Goroka Air Services
1,Government of Mozambique
2,GP Express Airlines
1,Grand Aire
1,Grand Canyon Air - Air Taxi
2,Grand Canyon Airlines
1,Grand Canyon Airlines / Helitech
10,Grands Express Aeriens
1,Great Lakes Business Complany
1,Great Western and Southern Air Lines
1,Greek Government
1,Green Acres - Air Taxi
1,Green River Aviation - Air Taxi
1,Greenbriar Airways
1,Greylock Airways / Private
1,GT Air
1,Guardia Nacional de Venezuela
1,Guernsey Airways
1,Guiena Airways
3,Guinea Airways
1,Guinea Airways Limited
2,Gulf Air
1,Gulf Aviation (Kalinga Airways)
1,Gum Air Charter
1,Guyana Airways
2,Hageland Aviation Services
1,Haines Airways - Air Taxi
1,Hallo Bay Air - Air Taxi
1,Halvorson - Air Taxi
1,Hamilton Aviation
2,Handley Page Transport
